Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"Sputnik: For now of course, no one really knows what's in the report, how long it is, how much it actually deals with the president's own actions.",27,36.10,13.32,79.42,25.77,27.00,14.81,88.89,59.26,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,7.41,14.81,7.41,18.52,7.41,3.70,11.11,0.00,0.00,11.11,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.52,3.70,7.41,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,0.00,0.00,14.81,0.00,14.81,3.70,7.41,3.70,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.93,3.70,11.11,3.70,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00
"However, a lot of political and perhaps emotional capital was invested in this Mueller probe.",15,52.71,25.24,10.08,1.00,15.00,46.67,80.00,53.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,13.33,6.67,13.33,13.33,0.00,6.67,13.33,0.00,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,6.67,0.00,6.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Is this a bit of an anticlimax?,7,99.00,50.00,1.00,25.77,7.00,14.29,85.71,71.43,14.29,0.00,0.00,0.00,0.00,0.00,0.00,14.29,28.57,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
"Earl Rasmussen: I think for many it is an anticlimax, absolutely.",11,57.84,18.16,31.94,25.77,11.00,27.27,72.73,54.55,18.18,9.09,9.09,0.00,0.00,0.00,0.00,9.09,9.09,9.09,9.09,9.09,0.00,0.00,18.18,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,27.27,9.09,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
There's so much invested here.,5,1.00,50.00,1.00,25.77,5.00,20.00,100.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,60.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00
"Two plus years, millions of dollars, political capital on both sides, and you've got people who have lost their livelihoods.",20,52.71,99.00,43.37,25.77,20.00,25.00,95.00,40.00,15.00,10.00,0.00,0.00,5.00,0.00,5.00,5.00,0.00,15.00,10.00,0.00,10.00,0.00,20.00,5.00,0.00,5.00,10.00,5.00,10.00,5.00,5.00,0.00,0.00,5.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,20.00,0.00,5.00,5.00,10.00,0.00,15.00,5.00,0.00,20.00,0.00,15.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,5.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
"A lot of the people that were brought in, their names exposed, their reputations were damaged.",16,85.32,99.00,7.84,1.00,16.00,25.00,87.50,56.25,18.75,12.50,0.00,0.00,0.00,0.00,12.50,6.25,12.50,12.50,12.50,0.00,0.00,0.00,18.75,0.00,0.00,0.00,0.00,6.25,6.25,0.00,6.25,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,0.00,12.50,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,6.25,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
We've got the six people that have been charged [for] things that happened ten years ago; some are financially ruined now; some will spend time in jail for lying to Congress or lying to the FBI over minor financial things that may have gone unnoticed without this.,47,61.06,66.48,37.87,1.00,47.00,14.89,91.49,51.06,14.89,2.13,0.00,2.13,0.00,0.00,0.00,12.77,4.26,14.89,14.89,2.13,2.13,2.13,27.66,0.00,0.00,0.00,4.26,4.26,6.38,0.00,6.38,0.00,4.26,2.13,8.51,0.00,0.00,0.00,0.00,10.64,0.00,0.00,0.00,8.51,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.64,2.13,0.00,6.38,2.13,0.00,12.77,10.64,4.26,14.89,2.13,4.26,8.51,6.38,0.00,0.00,6.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.77,2.13,0.00,0.00,4.26,0.00,0.00,0.00,0.00,2.13,0.00,4.26
"You look at the other side too, and we've got damage to international relations, not just with Russia, where what has occurred is just outrageous, but also Europe.",28,5.89,50.00,89.63,1.00,28.00,14.29,89.29,64.29,14.29,7.14,0.00,3.57,3.57,0.00,0.00,7.14,3.57,10.71,10.71,17.86,10.71,3.57,17.86,0.00,0.00,7.14,0.00,0.00,7.14,0.00,7.14,0.00,3.57,0.00,7.14,0.00,0.00,0.00,0.00,14.29,3.57,0.00,0.00,0.00,0.00,10.71,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,7.14,0.00,0.00,3.57,0.00,7.14,10.71,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,3.57,14.29,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00
I mean we forced Europe to follow through on sanctions that there's no evidence for.,15,70.69,50.00,98.01,25.77,15.00,20.00,86.67,60.00,20.00,13.33,6.67,6.67,0.00,0.00,0.00,6.67,0.00,26.67,6.67,6.67,0.00,6.67,20.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,20.00,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,6.67,0.00,0.00,0.00,20.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00
"They've lost business as a result of that, so I'm sure the Europeans will be quite interested in seeing more and learning more about what's coming out of this as well.",31,36.43,50.00,20.84,99.00,31.00,12.90,96.77,61.29,16.13,6.45,3.23,0.00,0.00,0.00,3.23,9.68,6.45,22.58,16.13,9.68,12.90,0.00,29.03,12.90,12.90,3.23,0.00,6.45,12.90,9.68,3.23,0.00,0.00,3.23,3.23,0.00,0.00,0.00,0.00,12.90,3.23,3.23,0.00,3.23,3.23,0.00,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,3.23,0.00,0.00,0.00,6.45,9.68,6.45,9.68,3.23,6.45,0.00,6.45,0.00,0.00,3.23,0.00,0.00,3.23,0.00,0.00,0.00,3.23,0.00,16.13,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,9.68,0.00,0.00
"© AP Photo / Evan Vucci Trump Again Supports Idea of Making Mueller’s Russia Probe Report Public",15,93.26,74.76,10.08,99.00,15.00,13.33,53.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67
The country is divided.,4,93.26,50.00,74.76,25.77,4.00,50.00,75.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Talk about political discord – the media here has done a great job doing that.,14,48.63,76.25,1.00,99.00,14.00,14.29,85.71,57.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29,7.14,21.43,14.29,0.00,0.00,21.43,14.29,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,7.14,7.14,0.00,7.14,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
In a lot of ways we've done a lot of damage to ourselves chasing after something that's not there.,19,77.17,85.38,19.27,1.00,19.00,15.79,89.47,73.68,21.05,10.53,0.00,10.53,0.00,0.00,0.00,10.53,10.53,26.32,15.79,5.26,0.00,5.26,15.79,5.26,5.26,0.00,0.00,10.53,5.26,0.00,5.26,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,15.79,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,10.53,5.26,0.00,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00
Sputnik: US Attorney General William Barr is going to now summarise the report and decide on how much to share with Congress.,22,87.93,91.35,31.94,94.75,22.00,27.27,77.27,45.45,4.55,4.55,0.00,4.55,0.00,0.00,0.00,0.00,4.55,18.18,4.55,9.09,9.09,0.00,13.64,4.55,0.00,4.55,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,9.09,0.00,4.55,0.00,0.00,0.00,18.18,4.55,13.64,4.55,4.55,4.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
What can we expect?,4,1.00,99.00,1.00,25.77,4.00,0.00,100.00,75.00,50.00,25.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
Earl Rasmussen: Personally I think the whole report should be released to the public at some point in time.,19,98.71,50.00,81.22,25.77,19.00,15.79,78.95,42.11,5.26,5.26,5.26,0.00,0.00,0.00,0.00,0.00,10.53,15.79,10.53,0.00,0.00,0.00,15.79,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,15.79,5.26,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,21.05,0.00,15.79,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"He'll release it to Congress, I think most of it will probably be provided to Congress.",16,56.25,50.00,7.84,25.77,16.00,31.25,93.75,56.25,18.75,6.25,6.25,0.00,0.00,0.00,0.00,12.50,0.00,18.75,12.50,6.25,0.00,0.00,25.00,6.25,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,6.25,18.75,6.25,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,6.25,12.50,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00
There should be nothing there that they don't already know.,10,1.00,15.86,3.37,25.77,10.00,20.00,100.00,90.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,30.00,30.00,0.00,20.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,30.00,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
"They've been doing their own investigations, have called in their own witnesses, so there really should be no surprises there.",20,1.00,84.14,1.00,25.77,20.00,15.00,80.00,70.00,15.00,15.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,5.00,30.00,20.00,5.00,5.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,5.00,0.00,5.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
Obviously the parties will probably try to manipulate the report [against the other party] in order to potentially posture for the 2020 presidential elections.,24,99.00,50.00,23.51,99.00,24.00,37.50,87.50,50.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,16.67,20.83,4.17,4.17,0.00,0.00,8.33,0.00,0.00,0.00,4.17,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,29.17,0.00,4.17,0.00,12.50,4.17,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.17,8.33,8.33,12.50,0.00,0.00,0.00,4.17,8.33,8.33,0.00,4.17,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
Listen to Earl Rasmussen's complete interview with Sputnik here:,9,98.87,98.62,1.00,25.77,9.00,44.44,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
"Earl Rasmussen is the executive vice president of the Eurasia Centre, an independent, non-profit Washington-based think tank specialising in European and Asian political and economic issues.",28,97.73,50.00,4.35,87.20,28.00,35.71,60.71,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,7.14,3.57,0.00,7.14,0.00,10.71,3.57,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,3.57,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,10.71,3.57,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,17.86,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.86,3.57,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00
The views expressed by Mr. Rasmussen do not necessarily reflect those of Sputnik.,13,93.26,22.08,17.46,25.77,13.00,38.46,76.92,46.15,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,15.38,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,23.08,7.69,0.00,0.00,0.00,7.69,7.69,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"US reacts to end of Mueller probe with relief, skepticism",10,99.00,97.69,43.37,99.00,10.00,20.00,80.00,40.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"This undated photo shows Dajah Harris, in Norfolk, Va. Harris, 21, a college senior at Old Dominion University in Norfolk, Virginia, is a Democrat and no fan of Trump.",29,97.62,36.51,26.55,25.77,14.50,27.59,58.62,34.48,3.45,0.00,0.00,0.00,0.00,0.00,0.00,3.45,6.90,13.79,3.45,0.00,3.45,3.45,3.45,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,6.90,0.00,0.00,3.45,0.00,0.00,3.45,0.00,3.45,0.00,0.00,3.45,0.00,0.00,0.00,3.45,0.00,17.24,0.00,10.34,6.90,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.59,6.90,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"But she saw the investigation as a distraction from more important things like the border wall, homelessness, college debt and welfare programs.",22,96.54,50.00,11.00,94.75,22.00,31.82,100.00,45.45,9.09,4.55,0.00,0.00,0.00,4.55,0.00,4.55,13.64,13.64,0.00,0.00,13.64,0.00,4.55,9.09,13.64,0.00,0.00,4.55,9.09,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,13.64,4.55,0.00,0.00,4.55,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,4.55,0.00,0.00,9.09,0.00,9.09,0.00,18.18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,4.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"The country should never have elected someone, she said, whose background raises such questions.",14,1.92,98.33,1.06,25.77,14.00,35.71,78.57,57.14,21.43,7.14,0.00,0.00,0.00,7.14,0.00,14.29,7.14,0.00,14.29,14.29,0.00,7.14,21.43,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,7.14,0.00,28.57,7.14,0.00,7.14,14.29,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,7.14,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"(Ben Finley/Associated Press)",4,93.26,50.00,1.00,25.77,4.00,25.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,25.00
"PHILADELPHIA — With the long-awaited special counsel’s investigation finished but its contents still shrouded in mystery, Americans waited for details, yawned with boredom or stayed fixed to their long-cemented positions on President Donald Trump, the man at the probe’s center.",41,99.00,59.64,91.58,25.77,41.00,36.59,73.17,36.59,4.88,2.44,0.00,0.00,0.00,0.00,2.44,2.44,7.32,17.07,0.00,2.44,4.88,0.00,7.32,2.44,0.00,0.00,0.00,0.00,4.88,2.44,2.44,0.00,0.00,0.00,7.32,0.00,0.00,0.00,2.44,7.32,0.00,0.00,0.00,4.88,0.00,4.88,2.44,0.00,2.44,0.00,2.44,0.00,2.44,0.00,0.00,2.44,0.00,0.00,2.44,0.00,0.00,7.32,0.00,0.00,24.39,2.44,19.51,4.88,7.32,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.51,2.44,7.32,0.00,0.00,0.00,0.00,4.88,0.00,4.88,0.00,0.00
